key;id_now;ff_x;ff_y;fw_x;fw_y;fa_x;fa_y;t_x;t_y
174;81;-0.0;1.0;-0.0;-0.0;-1.9447085141196826e-16;-1.0300718935269291e-15;1;2
175;81;-0.0;1.0;-0.0;-0.0;7.702724643639731e-16;-7.813429851126206e-16;0;1
176;81;-0.0;1.0;-0.0;-0.0;8.429751712828875;-3.1086244689504383e-15;0;1
177;81;-0.0;1.0;-0.0;-0.0;-1.2031631909688717e-15;1.846417383945667e-15;0;1
4;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
21;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
172;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;82;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;82;-0.0;1.0;-0.0;-0.0;2.169237021388621e-15;-2.8635650751390188e-15;0;1
175;82;-0.0;1.0;-0.0;-0.0;7.702724643639731e-16;-7.813429851126206e-16;0;1
176;82;-0.0;1.0;-0.0;-0.0;8.429751712828875;-3.1086244689504383e-15;0;2
177;82;-0.0;1.0;-0.0;-0.0;-1.2031631909688717e-15;1.846417383945667e-15;0;1
4;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
21;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
172;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;83;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;83;-0.0;1.0;-0.0;-0.0;2.169237021388621e-15;-2.8635650751390188e-15;0;2
175;83;-0.0;1.0;-0.0;-0.0;1.1040936473213651e-15;6.286280989112845e-16;0;2
176;83;-0.0;1.0;-0.0;-0.0;8.429751712828873;-3.1086244689504383e-15;0;1
